iter	RMSE
0	0.3834079546
1	0.3731594154
2	0.364003257
3	0.3559995737
4	0.3489895526
5	0.3424426968
6	0.3365174349
7	0.3316492149
8	0.3269658444
9	0.3229383233
10	0.3194522068
11	0.3163987477
12	0.3136332011
13	0.311157247
14	0.3090159367
15	0.3071091457
16	0.3053079383
17	0.3034291067
18	0.3018373136
19	0.300675076
20	0.2994094068
21	0.2982115776
22	0.2970742086
23	0.2959798494
24	0.2951222051
25	0.2944918479
26	0.2936805285
27	0.292856526
28	0.2921825977
29	0.2914809446
30	0.290777152
31	0.290161431
32	0.2897925958
33	0.2892898543
34	0.2887930247
35	0.2883411154
36	0.2880165382
37	0.2876205837
38	0.2871894691
39	0.2866545768
40	0.2863281574
41	0.2860255824
42	0.285612582
43	0.2853582371
44	0.2849913059
45	0.2847718759
46	0.2844340596
47	0.2841890815
48	0.283739401
49	0.2834813026
50	0.2831703443
51	0.2829379504
52	0.2825945812
53	0.2823408684
54	0.2820734661
55	0.2818045356
56	0.2814652456
57	0.2812746273
58	0.2810474478
59	0.2809133195
60	0.2807747392
61	0.2805970796
62	0.2803497646
63	0.2801062829
64	0.2799620402
65	0.2796955721
66	0.2795652989
67	0.2794210885
68	0.2792100902
69	0.2791277946
70	0.2790076002
71	0.2787775777
72	0.2786311513
73	0.2785103384
74	0.2783399491
75	0.2781690338
76	0.2780640074
77	0.2779694607
78	0.277841542
79	0.2777368915
80	0.2776216165
81	0.2775059877
82	0.2773802301
83	0.2772187638
84	0.2771247416
85	0.2770242099
86	0.2769039907
87	0.2767834052
88	0.2766535428
89	0.2765671322
90	0.2764495784
91	0.276312942
92	0.2762507072
93	0.2761135551
94	0.2760088376
95	0.2759239194
96	0.2758449037
97	0.2756226623
98	0.2754517914
99	0.2751851948
100	0.2750575679
101	0.274876033
102	0.2747855193
103	0.2747159845
104	0.2744084496
105	0.2742720093
106	0.2741705352
107	0.2740451229
108	0.2739466859
109	0.2738359978
110	0.273532722
111	0.2732983198
112	0.2732498625
113	0.2730998546
114	0.2729676594
115	0.272764893
116	0.2725924342
117	0.2725086272
118	0.2724366965
119	0.2722629185
120	0.2720905744
121	0.2719249404
122	0.2718203083
123	0.2717336969
124	0.2715977299
125	0.2715247058
126	0.2714648761
127	0.2713950704
128	0.2713210372
129	0.2712482981
130	0.2710786901
131	0.2709927501
132	0.2709180381
133	0.2708512756
134	0.2707174649
135	0.2705606194
136	0.2703504828
137	0.2702374947
138	0.2700967961
139	0.2699573842
140	0.2698316853
141	0.2697288461
142	0.2696119405
143	0.2695330585
144	0.2694575502
145	0.2693831744
146	0.269296662
147	0.2692241193
148	0.2691026371
149	0.2690273842
150	0.2689271918
151	0.2688781533
152	0.2687178818
153	0.2686219542
154	0.2685328255
155	0.2683706917
156	0.2682210636
157	0.2680975644
158	0.2680094399
159	0.26788619
160	0.2678291252
161	0.2678017969
162	0.2677460294
163	0.2676151123
164	0.2675442862
165	0.2673572864
166	0.2673143759
167	0.2672442447
168	0.2671172181
169	0.2670379352
170	0.2669371058
171	0.2668122351
172	0.2667373443
173	0.2666741296
174	0.2665104701
175	0.266310124
176	0.2662178034
177	0.2661529034
178	0.2660051096
179	0.2659072206
180	0.2658482032
181	0.2656077573
182	0.2655267754
183	0.265494017
184	0.265377171
185	0.2651224904
186	0.2650976193
187	0.2649930346
188	0.2649301015
189	0.2647111144
190	0.2646356871
191	0.2645612197
192	0.2644877264
193	0.2643796283
194	0.2642463197
195	0.2641816937
196	0.2641149965
197	0.2640652122
198	0.2639972309
199	0.2638864651
200	0.2638204302
201	0.2637062861
202	0.2636050135
203	0.263432756
204	0.2633398599
205	0.2631867951
206	0.2630716537
207	0.2630370864
208	0.2629666018
209	0.2629413392
210	0.2628680996
211	0.2627736861
212	0.262690838
213	0.2626282577
214	0.2624109318
215	0.2623428718
216	0.2622605707
217	0.2621759512
218	0.2620098367
219	0.2619225129
220	0.2617558218
221	0.2617284687
222	0.2615768125
223	0.261503471
224	0.2613977747
225	0.2612974625
226	0.2612053879
227	0.2611589691
228	0.2611019606
229	0.2609877888
230	0.260913763
231	0.2607384384
232	0.2605956688
233	0.2604812702
234	0.260354263
235	0.2602106984
236	0.2601690459
237	0.2600542439
238	0.2599593029
239	0.2597809437
240	0.2596279601
241	0.2595496475
242	0.2594961658
243	0.25943541
244	0.2593021997
245	0.259188021
246	0.2591436768
247	0.2589979091
248	0.2589197182
249	0.2588396637
250	0.258790097
251	0.2587476099
252	0.2586718783
253	0.2585742626
254	0.2585237615
255	0.2584523749
256	0.2583361061
257	0.2582811162
258	0.2581302476
259	0.2580721201
260	0.2580008753
261	0.2579538025
262	0.2578698141
263	0.2578354893
264	0.2577385771
265	0.2577032495
266	0.2576017132
267	0.2575272671
268	0.2574870425
269	0.2574271989
270	0.2573040126
271	0.2572288675
272	0.2571327043
273	0.2570939438
274	0.2570567449
275	0.2570150347
276	0.2569665611
277	0.256905424
278	0.2567741027
279	0.2566366448
280	0.2565756455
281	0.2564623723
282	0.256312104
283	0.2562537256
284	0.2561919478
285	0.2561312824
286	0.256017931
287	0.2559283388
288	0.2558708744
289	0.255758
290	0.2556607791
291	0.2556208058
292	0.2555282306
293	0.2553755953
294	0.2553350363
295	0.2552704057
296	0.2551985904
297	0.2551465498
298	0.255086125
299	0.2549994518
300	0.2549954459
301	0.2549338866
302	0.2548867713
303	0.2548039567
304	0.2547295468
305	0.2546515853
306	0.2545930362
307	0.2545147661
308	0.2544696174
309	0.2544226039
310	0.2543211612
311	0.2541916521
312	0.2541260001
313	0.2540685544
314	0.2539796019
315	0.2539662055
316	0.2538746593
317	0.2537826772
318	0.2536774046
319	0.2536032771
320	0.2535362267
321	0.2534283269
322	0.2533201651
323	0.2532756725
324	0.253235777
325	0.2531750998
326	0.2530904918
327	0.2529844484
328	0.2528731883
329	0.2528184742
330	0.2527358187
331	0.252607051
332	0.2525910792
333	0.2525109643
334	0.2524445802
335	0.2523570621
336	0.252243783
337	0.2522012147
338	0.2521268198
339	0.2520861573
340	0.2519747218
341	0.2518999635
342	0.2518339719
343	0.2517353725
344	0.2516651923
345	0.2516277162
346	0.251501493
347	0.2514414828
348	0.2513716577
349	0.2513246523
350	0.2512386581
351	0.2511429618
352	0.2510673188
353	0.2510377619
354	0.250956758
355	0.2508723943
356	0.2507773565
357	0.2507211041
358	0.2506733575
359	0.2505432337
360	0.2504236168
361	0.2503892491
362	0.2503226268
363	0.2501622222
364	0.2500664152
365	0.2500047045
366	0.2499694278
367	0.2498956919
368	0.2498420702
369	0.249777707
370	0.249711013
371	0.2496856787
372	0.2496159191
373	0.2495544813
374	0.2495016633
375	0.2494387213
376	0.2492757051
377	0.2491734686
378	0.2491191011
379	0.249006201
380	0.2489747883
381	0.2488317813
382	0.2488153493
383	0.2488075404
384	0.2487137099
385	0.2486282281
386	0.2485375634
387	0.248325097
388	0.2482424027
389	0.2481902114
390	0.24810377
391	0.248042844
392	0.2479997073
393	0.2478869603
394	0.2476934132
395	0.2475946596
396	0.2475829995
397	0.2474910775
398	0.2474481695
399	0.2474110338
400	0.247305141
401	0.2472387623
402	0.2471778674
403	0.2471261165
404	0.2470752375
405	0.246954917
406	0.2468734606
407	0.2468353978
408	0.2467661887
409	0.2467004924
410	0.2466407665
411	0.2466133205
412	0.2465518536
413	0.2464877153
414	0.2464280568
415	0.2463243639
416	0.2462698038
417	0.2461879939
418	0.2460957262
419	0.2460119202
420	0.2459728497
421	0.2459204159
422	0.2458560165
423	0.2458097367
424	0.245736103
425	0.2455719409
426	0.2455184142
427	0.2454779361
428	0.2454154585
429	0.2453739534
430	0.2453001981
431	0.2452613352
432	0.2452030876
433	0.245159405
434	0.2450937466
435	0.2450385835
436	0.2449617746
437	0.2448908267
438	0.2448090359
439	0.2447577895
440	0.2447088281
441	0.2446296042
442	0.2445017019
443	0.2444493616
444	0.2444110083
445	0.2443947997
446	0.2443447592
447	0.2443044095
448	0.2442557117
449	0.2442078728
450	0.2441627637
451	0.2440816791
452	0.2440737703
453	0.2440375738
454	0.2439941403
455	0.2438847518
456	0.2438410547
457	0.2437974958
458	0.2437321095
459	0.2436847479
460	0.2436063897
461	0.2436021033
462	0.243530744
463	0.2434603757
464	0.2434166678
465	0.2433620662
466	0.243286233
467	0.2432414403
468	0.2431788734
469	0.2431452693
470	0.2430545561
471	0.2429904397
472	0.2429684297
473	0.2429029034
474	0.2428167871
475	0.2427209722
476	0.2426750567
477	0.2426176941
478	0.2425417911
479	0.2424019434
480	0.2423532864
481	0.2422833785
482	0.2422547919
483	0.2422054237
484	0.2420818284
485	0.2420388535
486	0.2419861294
487	0.2418899119
488	0.24180343
489	0.2417486651
490	0.24167558
491	0.2415454711
